timestamp,vault id1,"failures1 ([modelA, serialA, ...])",vault id2,"failures2 ([modelA, serialA, ...])",vault id3,"failures3 ([modelA, serialA, ...])",vault id4,"failures4 ([modelA, serialA, ...])",vault id5,"failures5 ([modelA, serialA, ...])",vault id6,"failures6 ([modelA, serialA, ...])",vault id7,"failures7 ([modelA, serialA, ...])",vault id8,"failures8 ([modelA, serialA, ...])",vault id9,"failures9 ([modelA, serialA, ...])",vault id10,"failures10 ([modelA, serialA, ...])"
2023-04-01T00:00:00.000000,1099,"1 ([ST12000NM001G, ZTN0AGRW])",1047,"1 ([ST4000DM000, Z304NT6A])",1118,"1 ([HGST HUH721212ALN604, AAG68EWH])",1106,"1 ([TOSHIBA MG07ACA14TA, 70K0A08ZF97G])",1055,"1 ([ST8000NM0055, ZA1814BV])",1145,"1 ([HGST HUH721212ALE604, 8HGXNP2H])",0,,0,,0,,0,
2023-04-02T00:00:00.000000,1102,"1 ([ST12000NM001G, ZLW0GPDR])",1041,"1 ([ST8000NM0055, ZA171RWG])",1091,"1 ([ST8000NM0055, ZA155872])",1152,"1 ([WDC WUH721414ALE6L4, X1G8LB2L])",1085,"1 ([ST14000NM001G, ZL2CWPWQ])",1142,"1 ([ST12000NM001G, ZLW0EFT7])",1040,"1 ([ST8000NM0055, ZA16DEVN])",1119,"1 ([ST12000NM0008, ZL005BTS])",1001,"1 ([ST4000DM000, Z3029ZR2])",0,
2023-04-03T00:00:00.000000,1131,"1 ([ST12000NM0008, ZHZ2JJMP])",1103,"1 ([ST12000NM001G, ZTN0AKND])",1055,"1 ([ST8000NM0055, ZA16K94X])",1042,"1 ([ST8000NM0055, ZA132DWE])",0,,0,,0,,0,,0,,0,
2023-04-04T00:00:00.000000,1113,"3 ([HGST HUH721212ALN604, 8HK2WZKH, HGST HUH721212ALN604, 8HK68T1H, HGST HUH721212ALN604, 8HK22LZH])",1066,"2 ([TOSHIBA MG07ACA14TA, 98B0A00EF97G, TOSHIBA MG07ACA14TA, 88S0A02AF97G])",1090,"1 ([ST8000NM0055, ZA1819D6])",1044,"1 ([ST8000NM0055, ZA15VJHH])",1024,"1 ([HGST HMS5C4040BLE640, PL1331LAH27JDH])",1042,"1 ([ST8000NM0055, ZA139G0S])",1035,"1 ([ST8000DM002, ZA12PTHD])",0,,0,,0,
2023-04-05T00:00:00.000000,1093,"3 ([ST10000NM0086, ZA20ZBAR, ST10000NM0086, ZA21E1Z8, ST10000NM0086, ZA21HD3Y])",1032,"3 ([ST8000DM002, ZA12QCLA, ST8000DM002, ZA136191, ST8000DM002, ZA12YMZ6])",1014,"2 ([ST4000DM000, Z304KCMR, ST4000DM000, Z304LAP7])",1044,"2 ([ST8000NM0055, ZA17HPSZ, ST8000NM0055, ZA18BLRJ])",1010,"2 ([ST4000DM000, Z304JW59, ST4000DM000, Z304KA0X])",1041,"2 ([ST8000NM0055, ZA16V744, ST8000NM0055, ZA171VP2])",1052,"1 ([HGST HMS5C4040BLE640, PL2331LAHDKYDJ])",1034,"1 ([ST8000DM002, ZA11R9DT])",1105,"1 ([HGST HUH721212ALE604, 8DJ3T5JY])",1089,"1 ([TOSHIBA MG07ACA14TA, 61A0A0MUF97G])"
2023-04-06T00:00:00.000000,1120,"1 ([HGST HUH721212ALN604, AAG8RN9H])",1053,"1 ([ST8000NM0055, ZA174QL4])",1093,"1 ([ST10000NM0086, ZA21ADY8])",1064,"1 ([ST12000NM0008, ZHZ4XHK8])",0,,0,,0,,0,,0,,0,
2023-04-07T00:00:00.000000,1033,"2 ([ST8000DM002, ZA11HN58, ST8000DM002, ZA11PX9E])",1133,"2 ([TOSHIBA MG07ACA14TA, Z8B0A0AFF97G, TOSHIBA MG07ACA14TA, Z8A0A07RF97G])",1126,"1 ([HGST HUH721212ALN604, AAG637TH])",1032,"1 ([ST8000DM002, ZA134MV9])",1118,"1 ([HGST HUH721212ALN604, AAG1E40H])",1146,"1 ([ST14000NM001G, ZLW18S61])",1037,"1 ([ST8000DM002, ZA13YXAF])",1087,"1 ([ST16000NM001G, ZL22ZXF0])",1007,"1 ([ST4000DM000, Z302AKWY])",1013,"1 ([ST4000DM000, Z304KCJH])"
2023-04-08T00:00:00.000000,1124,"2 ([HGST HUH721212ALN604, 2AGMNMKY, HGST HUH721212ALN604, 8CH4X57E])",1400,"2 ([TOSHIBA MG07ACA14TA, 61A0A0RBF97G, TOSHIBA MG07ACA14TA, 61A0A154F97G])",1090,"1 ([ST8000NM0055, ZA181AAT])",1131,"1 ([ST12000NM0008, ZHZ43K8N])",1163,"1 ([ST14000NM001G, ZL2C5Q0T])",1055,"1 ([ST8000NM0055, ZA16C9RP])",1132,"1 ([ST12000NM0008, ZHZ3J52P])",1118,"1 ([HGST HUH721212ALN604, AAG6MH8H])",1069,"1 ([TOSHIBA MG07ACA14TA, 10C0A0AVF97G])",1016,"1 ([ST4000DM000, Z304LAN6])"
2023-04-09T00:00:00.000000,3003,"1 ([WDC WUH721816ALE6L4, 2PGU12RT])",1118,"1 ([HGST HUH721212ALN604, AAG6LEMH])",1135,"1 ([ST12000NM0008, ZHZ50RD4])",1053,"1 ([ST8000NM0055, ZA18GQ69])",1120,"1 ([HGST HUH721212ALN604, AAG765VH])",1032,"1 ([ST8000DM002, ZA12JLHE])",1009,"1 ([ST4000DM000, S301JQ43])",1080,"1 ([WDC WUH721414ALE6L4, 9LG3U60A])",1146,"1 ([ST14000NM001G, ZLW17SGH])",1128,"1 ([ST12000NM0007, ZJV3BXCY])"
2023-04-10T00:00:00.000000,1132,"1 ([ST12000NM0008, ZHZ1SPKY])",1043,"1 ([ST8000NM0055, ZA1551YJ])",1124,"1 ([HGST HUH721212ALN604, 2AGM5VVY])",1090,"1 ([TOSHIBA MQ01ABF050, 66HLS2P3S])",1098,"1 ([ST12000NM0008, ZL00567C])",2000,"1 ([TOSHIBA MG08ACA16TE, 71C0A068FVGG])",1048,"1 ([HGST HMS5C4040ALE640, PL1331LAGA0T8H])",1035,"1 ([ST8000DM002, ZA12EH4Y])",1001,"1 ([ST4000DM000, Z302ALE1])",1160,"1 ([TOSHIBA MG07ACA14TA, 1170A02NF97G])"
