ts,vault_id,min,25perc,50perc,75perc,max,count
2023-04-01T00:00:00.000000,1113,31,38633.543,38656.145,38668.195,68615,1226
2023-04-01T00:00:00.000000,1119,443,17589.125,18863.846,22572.922,37090,1220
2023-04-01T00:00:00.000000,1097,285,18412.875,21336.438,23217.307,78025,1220
2023-04-01T00:00:00.000000,1100,79,18861.316,20616.6,23921.275,72014,1221
2023-04-01T00:00:00.000000,1092,128,49039.734,49070.656,49080.457,60207,1220
2023-04-01T00:00:00.000000,1117,79,18184.33,20592.365,22644.197,37852,1220
2023-04-01T00:00:00.000000,1114,912,17539.357,18846.398,21743.531,81657,1220
2023-04-01T00:00:00.000000,1096,204,47244.49,47266.375,47274.44,69995,1220
2023-04-01T00:00:00.000000,1106,127,16578.006,18534.348,21369.236,76988,1221
2023-04-01T00:00:00.000000,1101,561,15891.804,19358.111,23097.873,45969,1220
2023-04-01T00:00:00.000000,1099,31,15554.272,18223.777,22932.627,76241,1221
2023-04-01T00:00:00.000000,1111,316,39572.1,39597.77,39616.74,39632,1220
2023-04-01T00:00:00.000000,1104,269,15197.977,17662.766,21874.367,45264,1219
2023-04-01T00:00:00.000000,1090,31,49616.8,49648.883,49667.0,76782,1222
2023-04-01T00:00:00.000000,1091,142,49327.465,49353.223,49364.03,77765,1222
2023-04-01T00:00:00.000000,1120,221,36183.133,36200.64,36212.95,42722,1217
2023-04-01T00:00:00.000000,1107,301,16428.275,18046.654,22471.875,43110,1220
2023-04-01T00:00:00.000000,1115,824,15018.848,17146.02,21495.299,38250,1220
2023-04-01T00:00:00.000000,1108,222,17108.516,20513.559,23085.875,41787,1220
2023-04-01T00:00:00.000000,1102,333,17984.084,21925.262,23760.357,71305,1220
2023-04-01T00:00:00.000000,1116,602,15640.219,17646.951,20958.352,85394,1220
2023-04-01T00:00:00.000000,1103,376,14962.944,18229.416,21386.0,70669,1220
2023-04-01T00:00:00.000000,1118,31,37691.793,37714.25,37722.465,37735,1221
2023-04-01T00:00:00.000000,1109,285,17616.553,20506.898,22782.275,84706,1219
2023-04-01T00:00:00.000000,1112,363,17240.75,18824.648,22787.936,51214,1220
2023-04-01T00:00:00.000000,1105,205,17606.916,19518.715,22433.723,68739,1220
2023-04-01T00:00:00.000000,1110,221,17351.27,18762.715,22762.045,69950,1221
2023-04-01T00:00:00.000000,1094,740,16847.607,18159.547,21724.328,44835,1220
2023-04-01T00:00:00.000000,1098,2132,17918.15,21089.564,23197.258,70529,1220
2023-04-01T00:00:00.000000,1093,46,48674.316,48708.316,48718.105,67911,1225
2023-04-01T00:00:00.000000,1095,79,16919.924,18833.277,22546.371,45632,1220
2023-04-11T00:00:00.000000,1119,205,17878.334,19150.424,22841.334,37375,1220
2023-04-11T00:00:00.000000,1091,267,49614.977,49635.73,49650.574,78050,1220
2023-04-11T00:00:00.000000,1099,316,15848.489,18518.38,23214.951,76509,1220
2023-04-11T00:00:00.000000,1101,1,16172.607,19667.188,23395.512,46250,1221
2023-04-11T00:00:00.000000,1103,174,15263.904,18509.434,21677.572,71018,1220
2023-04-11T00:00:00.000000,1107,570,16722.041,18337.285,22763.26,43402,1220
2023-04-11T00:00:00.000000,1106,316,16872.875,18822.996,21646.924,77273,1220
2023-04-11T00:00:00.000000,1116,16,15926.856,17825.346,21248.32,85694,1221
2023-04-11T00:00:00.000000,1110,285,17638.928,19054.084,23026.176,70219,1220
2023-04-11T00:00:00.000000,1097,553,18703.113,21615.232,23509.777,78231,1219
2023-04-11T00:00:00.000000,1109,570,17907.125,20789.686,23081.934,84959,1220
2023-04-11T00:00:00.000000,1108,505,17366.16,20818.07,23378.463,42078,1220
2023-04-11T00:00:00.000000,1096,15,47532.9,47553.73,47563.133,70280,1223
2023-04-11T00:00:00.000000,1117,160,18472.857,20883.0,22941.797,38141,1220
2023-04-11T00:00:00.000000,1105,47,17896.83,19602.557,22731.668,69056,1223
2023-04-11T00:00:00.000000,1094,1007,17113.334,18443.291,22012.846,45131,1220
2023-04-11T00:00:00.000000,1112,633,17509.834,19106.926,23070.875,51500,1220
2023-04-11T00:00:00.000000,1104,142,15393.842,17939.996,22167.3,45548,1221
2023-04-11T00:00:00.000000,1102,126,18272.463,22203.764,24063.709,71573,1221
2023-04-11T00:00:00.000000,1092,47,49336.098,49357.605,49367.72,60507,1221
2023-04-11T00:00:00.000000,1100,362,19151.625,20907.777,24205.377,72014,1220
2023-04-11T00:00:00.000000,1093,31,48960.406,48990.223,49005.07,68176,1224
2023-04-11T00:00:00.000000,1111,602,39862.48,39886.76,39905.67,39922,1220
2023-04-11T00:00:00.000000,1114,141,17825.508,19114.223,22047.0,82020,1222
2023-04-11T00:00:00.000000,1118,64,37980.31,38002.883,38010.273,38023,1224
2023-04-11T00:00:00.000000,1115,1109,15311.708,17422.139,21780.375,38566,1220
2023-04-11T00:00:00.000000,1113,47,38920.7,38942.89,38954.19,68898,1229
2023-04-11T00:00:00.000000,1095,174,17117.977,19128.0,22842.621,45949,1220
2023-04-11T00:00:00.000000,1098,2401,18201.398,21368.422,23451.703,70782,1220
2023-04-11T00:00:00.000000,1120,16,36472.523,36490.477,36502.355,43021,1230
2023-04-11T00:00:00.000000,1090,8,49898.75,49934.9,49955.34,77082,1224
